a52dec 0.7.4-8
libpulse 5.0-1
libpurple 2.10.9-2
libquvi 0.9.4-2
libquvi-scripts 0.9.20131130-1
libraw1394 2.1.0-2
libreoffice-still-calc 4.2.6-4
libreoffice-still-common 4.2.6-4
libreoffice-still-en-GB 4.2.6-3
libreoffice-still-writer 4.2.6-4
librsvg 1:2.40.2-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.1.1-1
libsecret 0.18-1
libshout 1:2.3.1-2
libsigc++ 2.3.1-2
libsigsegv 2.10-2
libsm 1.2.2-2
libsndfile 1.0.25-3
libsoup 2.46.0-1
libspectre 0.2.7-2
libssh2 1.4.3-2
libsystemd 216-3
libtar 1.2.20-2
libtasn1 4.2-1
libthai 0.1.19-1
libtheora 1.1.1-3
libtiff 4.0.3-5
libtiger 0.3.4-4
libtirpc 0.2.5-1
libtool 2.4.2-14
libtorrent 0.13.4-1
libtxc_dxtn 1.0.1-5
libunibreak 1.1-1
libunistring 0.9.4-1
libupnp 1.6.19-1
libusb 1.0.19-1
libusb-compat 0.1.5-1
libutempter 1.1.6-2
libutil-linux 2.25.1-1
libva 1.4.0-1
libvdpau 0.8-1
libvisual 0.4.0-5
libvorbis 1.3.4-1
libvpx 1.3.0-1
libwbclient 4.1.12-1
libwebp 0.4.1-1
libwmf 0.2.8.4-12
libx11 1.6.2-2
libx264 1:142.20140826-2
libx86emu 1.1.21.6-1
libxau 1.0.8-2
libxaw 1.0.12-1
libxcb 1.11-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-2
libxdmcp 1.1.1-2
libxext 1.3.3-1
libxfixes 5.0.1-1
libxfont 1.5.0-1
libxft 2.3.2-1
libxi 1.7.4-1
libxinerama 1.1.3-2
libxkbcommon 0.4.3-1
libxkbcommon-x11 0.4.3-1
libxkbfile 1.0.8-2
libxml2 2.9.1-5
libxmu 1.1.2-1
libxp 1.0.2-1
libxpm 3.5.11-1
libxrandr 1.4.2-2
libxrender 0.9.8-1
libxshmfence 1.1-1
libxslt 1.1.28-3
libxss 1.2.2-2
libxt 1.1.4-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.8-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.3-1
libyaml 0.1.6-1
licenses 20140629-1
linux 3.16.4-1
linux-api-headers 3.16.2-1
linux-firmware 20140828.13eb208-1
lirc-utils 1:0.9.1.a-5
livestreamer-git 1:1.10.2.9.g895c3c1-1
llvm 3.5.0-2.1
llvm-libs 3.5.0-2.1
lm_sensors 3.3.5-1
logrotate 3.8.7-3
lpsolve 5.5.2.0-3
lsb-release 1.4-14
lsof 4.87-2
lua 5.2.3-1
lua-bitop 1.0.2-3
lua-expat 1.3.0-1
lua-lgi 0.8.0-1
lua-oocairo 1.4-4
lua-socket 3.0rc1-3
lua51 5.1.5-4
lvm2 2.02.111-1
lzo 2.08-3
m17n-db 1.6.5-2
m17n-lib 1.6.4-2
m4 1.4.17-1
make 4.0-2
man-db 2.7.0.2-2
man-pages 3.74-1
mcpp 2.7.2-5
mdadm 3.3.1-2
mercurial 3.1.2-1
mesa 10.3.0-3
mesa-dri 10.3.0-3
mime-types 9-1
mimeo 2013.7.24-3
miniupnpc 1.9.20140401-1
minizip 1.2.8-1
mjpegtools 2.1.0-1
mkinitcpio 18-2
mkinitcpio-busybox 1.21.1-2
mlocate 0.26-3
mosh 1.2.4-2
mozilla-common 1.4-4
mpfr 3.1.2.p10-1
mpg123 1.20.1-1
mplayer 37224-2
mpv 0.6.0-1
msmtp 1.4.32-1
msmtp-mta 1.4.32-1
mtdev 1.1.5-1
mtr 0.85-2
mumble 1.2.8-2
musicbrainz 2.1.5-6
mutt 1.5.23-1
nano 2.2.6-3
ncurses 5.9-6
neon 0.30.0-1
net-tools 1.60.20130531git-1
netctl 1.9-1
nettle 2.7.1-1
ninja 1.5.1-1
nmap 6.47-2
nspr 4.10.7-1
nss 3.17.1-1
ntfs-3g 2014.2.15-1
ntop 5.0.1-6
numlockx 1.2-3
nvidia 343.22-2
nvidia-libgl 343.22-1
nvidia-utils 343.22-1
offlineimap 6.5.6-1
opencore-amr 0.1.3-2
openjpeg 1.5.2-1
openresolv 3.5.7-2
openssh 6.6p1-2
openssl 1.0.1.i-1
openvpn 2.3.4-1
opus 1.1-1
orc 0.4.19-1
p11-kit 0.20.7-3
pacaur 4.2.12-1
pacman 4.1.2-6
pacman-mirrorlist 20140901-1
pam 1.1.8-5
pambase 20130928-1
pango 1.36.6-1
pango-perl 1.226-1
pangomm 2.34.0-1
paprefs 0.9.10-3
pasystray-git pasystray.0.4.0.45.g21a6f64-1
patch 2.7.1-3
pavucontrol 2.0-2
pax 3.4-4
pciutils 3.2.1-1
pcmciautils 018-7
pcre 8.36-1
pdflatex.sh-git 20120111-1
pep8 1.5.7-1
perl 5.20.1-1
perl-class-inspector 1.28-2
perl-encode-locale 1.03-2
perl-env-path 0.19-1
perl-error 0.17022-1
perl-file-basedir 0.03-6
perl-file-desktopentry 0.08-1
perl-file-listing 6.04-2
perl-file-mimeinfo 0.26-1
perl-file-sharedir 1.102-1
perl-file-slurp-tiny 0.003-2
perl-file-which 1.09-4
perl-html-form 6.03-2
perl-html-parser 3.71-3
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.06-2
perl-http-negotiate 6.01-2
perl-http-response-encoding 0.06-3
